company_id,broad_sector,metric,value,sector_mean,sector_std,z_score,absolute_z_score
BAJAJHLDNG,Financials,net_profit_margin_pct,432.7262044653349,39.25634844262785,89.63133901035471,4.3898692172528095,4.3898692172528095
PNB,Financials,asset_turnover,1.5070262950629396,0.19832550467494797,0.30912409432852844,4.233577435077387,4.233577435077387
BAJAJHLDNG,Financials,interest_coverage,3764.5,366.03226347818355,971.8319940008361,3.4969704202997174,3.4969704202997174
INDIGO,Consumer Discretionary,asset_turnover,56.38625204582652,5.157839331155129,14.752203093996432,3.4725940517670435,3.4725940517670435
INDIGO,Consumer Discretionary,return_on_equity_pct,892.568306010929,86.7241057634709,232.10448273452175,3.471902785993034,3.471902785993034
ICICIBANK,Financials,cash_from_operations_cr,157284.0,-6502.454545454545,50095.86563848622,3.26946051251833,3.26946051251833
PNB,Financials,return_on_equity_pct,61.320565191187306,19.007093285078103,13.021442421473514,3.249522636319501,3.249522636319501
TATAMOTORS,Consumer Discretionary,free_cash_flow_cr,45133.0,4444.142857142857,12601.404542334178,3.22891444411325,3.22891444411325
TATAMOTORS,Consumer Discretionary,cash_from_operations_cr,67915.0,9265.357142857143,18245.82971786722,3.214413581844964,3.214413581844964
ADANIGREEN,Energy,debt_to_equity,6.595281675818589,1.5384736113687496,1.6728442189497295,3.0228804375010374,3.0228804375010374
